product_id,product_name,category,brand,seller_name,vendor_id,description,color,material,size,tags,price,inventory_qty,inventory_status,units_sold_30d,gmv_last_30d,impressions,clicks,conversion_rate,rating,review_count,launch_date,catalog_owner
P0031,Dress,Fashion,"Vasquez, Martinez and Schaefer","York, Lee and Carrillo",V020,Premium dress designed for everyday use.,Red,,,"premium,quality",5189,458,In Stock,210,1089690,1156,4652,4.55,4.2,509,2025-07-19,Deepali
P0032,T-Shirt,Fashion,Wright Group,"Burns, Moore and Fisher",V011,Premium t-shirt designed for everyday use.,Blue,Wood,XL,"premium,quality",2868,375,Out of Stock,135,387180,22391,3449,6.13,4.5,865,2024-08-27,Deepali
P0033,T-Shirt,Fashion,"Cummings, Roberts and Obrien",Martin-Cooper,V019,Premium t-shirt designed for everyday use.,Red,,S,"premium,quality",7311,350,Out of Stock,82,599502,42008,4253,2.44,4.3,810,2024-07-16,Deepali
P0034,Dress,Fashion,Martinez-Garcia,Henderson LLC,V001,Premium dress designed for everyday use.,Blue,Cotton,,"premium,quality",9347,292,In Stock,153,1430091,10398,728,4.63,3,415,2025-06-10,Deepali
P0035,Kurti,Fashion,Lee-Lewis,Nelson-Woods,V007,,,,S,,4128,395,Low Stock,86,355008,30533,1675,7.23,3.9,578,2024-07-23,Deepali
P0036,Jacket,Fashion,Clark Inc,"Walls, Jones and Washington",V003,,,,XL,,7902,488,In Stock,283,2236266,38056,4071,6.02,4.6,289,2026-02-01,Deepali
P0037,Jeans,Fashion,"Edwards, Murphy and King","Beltran, Gilbert and Elliott",V011,,,,M,,8143,120,Low Stock,198,1612314,46602,1985,3.31,3.2,194,2026-02-10,Deepali
P0038,Jeans,Fashion,"Campbell, Curry and Gibson",Wells-Williams,V008,Premium jeans designed for everyday use.,Blue,Cotton,L,"premium,quality",3686,36,Out of Stock,156,575016,14104,1884,2.18,4.4,993,2025-01-06,Deepali
P0039,Kurti,Fashion,"Mitchell, Lopez and Zamora",Baker-Lynch,V019,Premium kurti designed for everyday use.,Blue,,S,"premium,quality",4399,463,Low Stock,86,378314,7757,2602,0.95,3.6,434,2025-01-12,Deepali
P0040,T-Shirt,Fashion,Sanders-Williams,Williams-Stanley,V014,,,,M,,6459,105,Low Stock,295,1905405,36532,4788,1.49,4.7,723,2024-06-13,Deepali
P0041,Dress,Fashion,Weaver-Newton,"Hawkins, Rodriguez and Sexton",V002,,,,,,4279,91,Low Stock,155,663245,39265,3673,2.01,2.6,960,2025-11-19,Deepali
P0042,Jeans,Fashion,Hancock Inc,"Wong, Miller and Avila",V003,Premium jeans designed for everyday use.,White,,M,"premium,quality",8279,476,Out of Stock,59,488461,37545,4424,3.96,2.8,777,2024-12-08,Deepali
P0043,Jeans,Fashion,Smith-Gilmore,Solis-Macias,V005,Premium jeans designed for everyday use.,Red,,S,"premium,quality",6201,48,Low Stock,78,483678,15699,1638,6.49,4.6,101,2026-01-23,Deepali
P0044,T-Shirt,Fashion,"Adams, Hunter and Rivera",Payne LLC,V013,,,,S,,5632,254,In Stock,262,1475584,45735,2818,7.44,4.7,225,2025-06-10,Deepali
P0045,Jacket,Fashion,Thompson-Adkins,Duncan-Baker,V004,,,,,,7555,397,In Stock,192,1450560,5074,4468,7.01,3,238,2025-11-12,Deepali
P0046,Jacket,Fashion,Sanchez-Alexander,"Anderson, Rosario and Paul",V004,Premium jacket designed for everyday use.,Brown,,XL,"premium,quality",4118,466,Out of Stock,279,1148922,23285,2504,2.36,4.7,800,2024-05-31,Deepali
P0047,T-Shirt,Fashion,Smith-Taylor,Robinson-Jones,V015,,,,L,,464,135,Low Stock,238,110432,42826,98,5.11,2.9,386,2025-07-12,Deepali
P0048,Dress,Fashion,Hall-Perez,Young and Sons,V012,,,,L,,4607,173,Out of Stock,187,861509,10556,2197,7.83,4,102,2024-08-26,Deepali
P0049,Kurti,Fashion,Nguyen-Perez,Oconnor-Martin,V008,Premium kurti designed for everyday use.,Brown,Leather,S,"premium,quality",5614,61,In Stock,284,1594376,18336,4449,6.43,3.8,171,2026-04-20,Deepali
P0050,T-Shirt,Fashion,Vazquez Inc,"Johnson, Page and Henson",V018,,,,M,,3797,242,Out of Stock,253,960641,47370,4320,4.26,3.7,543,2025-09-14,Deepali
P0051,Dress,Fashion,Smith-Holt,Gardner-Melendez,V012,Premium dress designed for everyday use.,Brown,,,"premium,quality",4726,488,Out of Stock,65,307190,32535,1064,3.14,4.6,375,2025-06-09,Deepali
P0052,Kurti,Fashion,Mueller and Sons,"Roberts, Rangel and Vasquez",V007,Premium kurti designed for everyday use.,Brown,,XL,"premium,quality",8997,83,In Stock,29,260913,15892,806,5.95,3.1,194,2024-05-30,Deepali
P0053,Jeans,Fashion,"Gibson, Evans and Smith",Campbell Group,V003,,,,L,,5387,34,In Stock,278,1497586,33775,889,5.76,2.6,920,2026-01-18,Deepali
P0054,Dress,Fashion,Richmond Group,Mason-Ellis,V013,Premium dress designed for everyday use.,Blue,Cotton,XL,"premium,quality",8754,475,In Stock,269,2354826,49325,1634,6.85,4.6,153,2024-11-08,Deepali
P0055,Kurti,Fashion,"White, Valenzuela and Roberson","Ayers, Reid and Garcia",V014,Premium kurti designed for everyday use.,Red,,XL,"premium,quality",6976,223,In Stock,282,1967232,18108,4051,6.83,3.5,673,2026-04-24,Deepali
P0056,T-Shirt,Fashion,Howard Inc,Crawford-Howard,V018,Premium t-shirt designed for everyday use.,Red,,L,"premium,quality",2838,93,Out of Stock,237,672606,48357,4245,1.49,4.1,236,2025-03-02,Deepali
P0057,Jeans,Fashion,"Smith, Jackson and Gutierrez","Anderson, Spence and Stewart",V016,Premium jeans designed for everyday use.,Red,,XL,"premium,quality",4249,472,In Stock,39,165711,16224,2002,2.34,5,671,2024-12-02,Deepali
P0058,T-Shirt,Fashion,Bartlett LLC,Bowman Ltd,V011,,,,XL,,4711,165,Low Stock,34,160174,10699,2774,4.65,4.8,31,2026-05-08,Deepali
P0059,Dress,Fashion,"Allen, Lynch and Patterson",Vasquez and Sons,V012,,,,,,6534,14,Out of Stock,5,32670,16835,347,1.37,3.9,634,2025-12-24,Deepali
P0060,T-Shirt,Fashion,Williams PLC,Wheeler-Gordon,V001,Premium t-shirt designed for everyday use.,Brown,,,"premium,quality",804,381,Out of Stock,218,175272,29517,145,4.41,3.9,607,2026-01-08,Deepali
P0061,Kurti,Fashion,"Douglas, Holt and Murphy",Smith PLC,V007,Premium kurti designed for everyday use.,Red,Cotton,M,"premium,quality",4261,86,Out of Stock,138,588018,45800,2226,6.88,3.6,409,2024-07-14,Deepali
P0062,T-Shirt,Fashion,Farrell Inc,Mills Inc,V011,,,,S,,4461,141,In Stock,245,1092945,23723,762,7.22,3.9,888,2026-04-25,Deepali
P0063,Dress,Fashion,Bailey-King,Hudson and Sons,V002,,,,XL,,3188,258,Low Stock,123,392124,30253,3944,5.78,3.1,808,2025-02-16,Deepali
P0064,Jeans,Fashion,Hicks-Thompson,Marks Ltd,V001,,,,M,,8964,291,Low Stock,120,1075680,13705,1199,6.76,3.1,80,2026-03-05,Deepali
P0065,Dress,Fashion,"Gomez, Bridges and Smith",Mendez-Rodgers,V014,,,,S,,4023,284,Low Stock,279,1122417,13149,4084,6.94,2.8,621,2024-12-15,Deepali
P0066,Kurti,Fashion,Salazar-Foster,"Brewer, Shepherd and Butler",V009,Premium kurti designed for everyday use.,White,,XL,"premium,quality",3069,419,In Stock,35,107415,16556,1793,2.56,3.9,214,2026-04-16,Deepali
P0067,Kurti,Fashion,Bowman-White,Cuevas and Sons,V001,Premium kurti designed for everyday use.,Red,,XL,"premium,quality",6370,236,In Stock,270,1719900,15197,2346,3.31,2.6,103,2026-01-29,Deepali
P0068,Jeans,Fashion,Ortiz-Harris,Jones-Rose,V018,Premium jeans designed for everyday use.,White,,XL,"premium,quality",1561,376,Out of Stock,263,410543,10138,1827,5.6,4.5,401,2024-09-01,Deepali
P0069,Dress,Fashion,Bailey-Torres,Martin Inc,V013,Premium dress designed for everyday use.,Black,,XL,"premium,quality",4844,195,Out of Stock,143,692692,16594,2849,7.87,4.4,111,2025-04-14,Deepali
P0070,T-Shirt,Fashion,Avila Group,Douglas-Suarez,V002,Premium t-shirt designed for everyday use.,Blue,,L,"premium,quality",9536,300,In Stock,181,1726016,11120,1748,5.49,4.7,517,2026-03-07,Deepali
P0071,Dress,Fashion,"Best, Cowan and Hatfield",Mitchell-Fernandez,V018,,,,L,,469,500,Low Stock,204,95676,35279,4922,2.82,4.7,357,2025-08-29,Deepali
P0072,T-Shirt,Fashion,Burgess LLC,Juarez-Fisher,V002,Premium t-shirt designed for everyday use.,White,Plastic,L,"premium,quality",5597,234,Out of Stock,110,615670,28929,697,6.93,3.6,38,2025-07-13,Deepali
P0073,T-Shirt,Fashion,Ingram-Shaw,Peterson-Sanders,V007,Premium t-shirt designed for everyday use.,Black,Cotton,S,"premium,quality",5466,377,In Stock,145,792570,9969,1468,4.38,4,515,2025-10-18,Deepali
P0074,T-Shirt,Fashion,"Hoover, Hughes and Brown",Baldwin-Mcconnell,V007,Premium t-shirt designed for everyday use.,Black,,L,"premium,quality",3672,19,Out of Stock,202,741744,42631,2712,7.49,3.5,477,2025-06-03,Deepali
P0075,T-Shirt,Fashion,"Ruiz, Sullivan and Burke",Fox-Bonilla,V009,Premium t-shirt designed for everyday use.,Blue,,M,"premium,quality",3606,114,Out of Stock,98,353388,40039,219,4.64,4.6,88,2024-08-13,Deepali
P0076,Jacket,Fashion,Foley-Walker,Patel and Sons,V015,Premium jacket designed for everyday use.,Red,,S,"premium,quality",926,184,Out of Stock,194,179644,43572,4007,6.53,2.8,191,2026-02-08,Deepali
P0077,T-Shirt,Fashion,Logan-Wade,Massey PLC,V013,Premium t-shirt designed for everyday use.,Black,Plastic,M,"premium,quality",3770,5,Out of Stock,179,674830,40566,1151,1.12,3.8,882,2025-11-14,Deepali
P0078,Jacket,Fashion,Wilkins-Stevenson,"Rodriguez, Davis and Cannon",V009,Premium jacket designed for everyday use.,Red,Leather,XL,"premium,quality",9277,435,In Stock,73,677221,12082,1519,1.03,2.6,227,2025-09-03,Deepali
P0079,T-Shirt,Fashion,Flowers Ltd,Shields Ltd,V015,Premium t-shirt designed for everyday use.,Brown,Cotton,S,"premium,quality",4892,78,Low Stock,19,92948,23584,2292,3.32,4.9,783,2026-01-27,Deepali
P0080,Jacket,Fashion,Wright LLC,Lopez LLC,V001,Premium jacket designed for everyday use.,Blue,Plastic,L,"premium,quality",7505,406,Out of Stock,232,1741160,30802,2462,6.17,2.6,576,2024-07-24,Deepali
P0081,Dress,Fashion,Kennedy Inc,"Vasquez, Warren and Freeman",V018,Premium dress designed for everyday use.,White,,M,"premium,quality",4331,419,Out of Stock,205,887855,29496,4266,7.22,3.1,560,2025-10-10,Deepali
P0082,T-Shirt,Fashion,Johnson-Lang,Carr Inc,V016,Premium t-shirt designed for everyday use.,Black,Leather,,"premium,quality",2237,111,In Stock,237,530169,25939,2727,1.48,4.8,341,2025-01-20,Deepali
P0083,T-Shirt,Fashion,Mcguire Ltd,Beasley-Russell,V014,,,,XL,,9436,35,In Stock,50,471800,32199,1075,7.11,4.8,397,2025-11-20,Deepali
P0084,Jeans,Fashion,Mullins-Reynolds,"Yates, Wilkins and Taylor",V009,Premium jeans designed for everyday use.,Red,,M,"premium,quality",4928,113,Low Stock,244,1202432,25366,1805,4.11,3.2,373,2026-02-15,Deepali
P0085,Jacket,Fashion,Bird-Cobb,Wright-Griffin,V014,Premium jacket designed for everyday use.,Blue,,M,"premium,quality",3752,153,Out of Stock,101,378952,21731,4908,0.96,2.5,80,2025-07-18,Deepali
P0086,Dress,Fashion,"Stevenson, Meyer and Keller",Ibarra and Sons,V005,Premium dress designed for everyday use.,Red,,M,"premium,quality",2124,34,Out of Stock,50,106200,40024,1983,7.35,3,638,2024-12-14,Deepali
P0087,Kurti,Fashion,Graves-Jackson,Hess-Ward,V020,Premium kurti designed for everyday use.,White,,XL,"premium,quality",4879,186,In Stock,171,834309,13145,4353,3.56,4.9,43,2024-09-05,Deepali
P0088,Jacket,Fashion,Holland-Miller,Ramirez-Myers,V013,,,,,,9178,78,Low Stock,102,936156,12742,3422,1.41,3,38,2025-05-28,Deepali
P0089,Jacket,Fashion,"Hill, Brown and Evans",Hancock-Perez,V004,Premium jacket designed for everyday use.,White,,,"premium,quality",5326,467,Out of Stock,292,1555192,24280,4114,1.27,2.8,706,2026-04-16,Deepali
P0090,Dress,Fashion,Morris-Young,Patel-Myers,V011,,,,L,,6797,128,Out of Stock,34,231098,32448,4529,0.86,4.1,998,2025-11-01,Deepali
P0091,Jacket,Fashion,Reese-Alexander,Case Group,V017,Premium jacket designed for everyday use.,Blue,,,"premium,quality",6145,13,Out of Stock,136,835720,48763,1017,3.95,4.8,687,2025-06-22,Deepali
P0092,T-Shirt,Fashion,Kelly Group,Brady and Sons,V007,Premium t-shirt designed for everyday use.,Brown,Steel,XL,"premium,quality",9601,310,In Stock,163,1564963,27175,1717,7.4,4.1,804,2025-05-01,Deepali
P0093,Kurti,Fashion,Taylor PLC,Mendoza Ltd,V003,Premium kurti designed for everyday use.,Brown,,M,"premium,quality",395,383,In Stock,159,62805,32340,4711,1.32,3.6,717,2024-06-16,Deepali
P0094,Jacket,Fashion,Powell-Jefferson,Smith Ltd,V018,Premium jacket designed for everyday use.,Red,,S,"premium,quality",503,493,In Stock,145,72935,47117,4017,0.92,2.6,433,2025-10-14,Deepali
P0095,Kurti,Fashion,Gibbs and Sons,Green Group,V019,Premium kurti designed for everyday use.,Brown,,S,"premium,quality",8675,177,Out of Stock,213,1847775,41418,2681,1.24,3.3,313,2026-05-08,Deepali
P0096,Dress,Fashion,Haas-Huber,Sanchez PLC,V004,,,,M,,3611,346,Out of Stock,61,220271,12678,242,5.49,3.7,160,2026-01-03,Deepali
P0097,T-Shirt,Fashion,"Johnson, Yoder and Taylor",Hoffman-Jones,V014,Premium t-shirt designed for everyday use.,Black,Leather,S,"premium,quality",1931,469,In Stock,73,140963,43735,436,2.99,5,963,2025-07-06,Deepali
P0098,Jeans,Fashion,"Washington, Morales and Romero","Alexander, Benitez and Dickson",V018,Premium jeans designed for everyday use.,Red,Steel,XL,"premium,quality",8480,238,In Stock,183,1551840,22589,4235,4.98,4,320,2025-01-18,Deepali
P0099,Jeans,Fashion,Hernandez Group,Hill-Campbell,V002,Premium jeans designed for everyday use.,White,,S,"premium,quality",1770,452,Out of Stock,107,189390,25966,2975,1.26,4.2,146,2025-02-08,Deepali
P0100,T-Shirt,Fashion,Rivera and Sons,"Sullivan, Acevedo and Figueroa",V007,Premium t-shirt designed for everyday use.,Red,,M,"premium,quality",6643,198,Out of Stock,146,969878,16159,3514,7.8,4.7,868,2024-10-01,Deepali
P0101,T-Shirt,Fashion,Tyler Ltd,Griffin Ltd,V002,,,,XL,,5060,266,Low Stock,36,182160,8733,3648,2.42,2.6,507,2024-06-19,Deepali
P0102,Jeans,Fashion,Shaw-Castaneda,Adams-Henry,V014,,,,L,,1937,307,Low Stock,262,507494,29073,3789,2.29,4.1,679,2024-10-09,Deepali
P0103,T-Shirt,Fashion,Smith-White,"Simpson, Frost and Whitehead",V012,Premium t-shirt designed for everyday use.,Brown,Wood,,"premium,quality",4469,353,Low Stock,48,214512,5515,3975,3.98,3.8,934,2025-03-07,Deepali
P0104,Kurti,Fashion,"Graham, Moore and Brown",Pearson PLC,V018,Premium kurti designed for everyday use.,White,Cotton,XL,"premium,quality",5713,116,Out of Stock,36,205668,2112,3337,3.29,4,272,2024-11-14,Deepali
P0105,Kurti,Fashion,"Anderson, Tran and Costa","King, Bennett and Richardson",V008,Premium kurti designed for everyday use.,Blue,,,"premium,quality",1175,466,In Stock,231,271425,9685,3750,3.78,3.6,63,2024-07-19,Deepali
P0106,Jeans,Fashion,Wilkinson-Tran,Wheeler Ltd,V006,,,,S,,2360,430,In Stock,157,370520,31633,2579,0.6,4.2,544,2026-02-10,Deepali
P0107,Jeans,Fashion,Williams PLC,"Simmons, Fischer and Dougherty",V004,Premium jeans designed for everyday use.,Red,,XL,"premium,quality",9566,150,Out of Stock,211,2018426,16884,307,3.22,4,348,2026-01-02,Deepali
P0108,Jeans,Fashion,"Harvey, Perez and Smith","Henderson, Preston and Rivera",V007,Premium jeans designed for everyday use.,Brown,,S,"premium,quality",1808,239,In Stock,155,280240,4957,4857,2.72,2.6,864,2025-05-13,Deepali
P0109,Kurti,Fashion,Ortiz Inc,Tanner-Campbell,V007,Premium kurti designed for everyday use.,Blue,,L,"premium,quality",3246,79,In Stock,216,701136,42679,3546,0.59,2.9,180,2024-10-12,Deepali
P0110,Kurti,Fashion,Day-Foley,Gray-Wright,V012,Premium kurti designed for everyday use.,Red,,L,"premium,quality",3946,176,Out of Stock,59,232814,15124,1667,7.36,4.8,404,2025-01-11,Deepali
P0111,Jacket,Fashion,Hughes-Carter,"Decker, Kidd and Manning",V019,Premium jacket designed for everyday use.,White,,XL,"premium,quality",1674,7,Low Stock,40,66960,24511,4344,3.42,3.3,692,2024-12-29,Deepali
P0112,Dress,Fashion,Barry PLC,"Roberts, Rogers and Obrien",V002,Premium dress designed for everyday use.,Red,,L,"premium,quality",4418,402,In Stock,265,1170770,32199,1853,7.47,3.4,394,2024-08-06,Deepali
P0113,Jeans,Fashion,"Hawkins, Estrada and Nelson",Burke-Johnson,V018,Premium jeans designed for everyday use.,Brown,,,"premium,quality",5907,482,In Stock,78,460746,7382,2425,1.9,4.8,388,2025-04-23,Deepali
P0114,Dress,Fashion,"Rodriguez, Jackson and Ortiz","Flores, Dunlap and Carrillo",V011,Premium dress designed for everyday use.,Black,,,"premium,quality",3475,78,In Stock,268,931300,46320,779,5.29,4.6,752,2025-12-25,Deepali
P0115,Jacket,Fashion,Mitchell Inc,Mercado-Moore,V002,,,,S,,517,258,Out of Stock,228,117876,4972,2894,3.78,3,715,2024-11-17,Deepali
P0116,Kurti,Fashion,"Yu, Mckinney and Golden",Knight LLC,V002,Premium kurti designed for everyday use.,Red,Steel,S,"premium,quality",7652,281,Low Stock,143,1094236,22729,3377,7.42,3.8,811,2024-08-19,Deepali
P0117,Kurti,Fashion,"Solis, Klein and Butler",King-Lopez,V005,Premium kurti designed for everyday use.,Blue,Steel,L,"premium,quality",9637,473,In Stock,43,414391,28046,3611,2.54,2.5,58,2025-04-30,Deepali
P0118,Kurti,Fashion,"Vargas, Chavez and Rivera",Larson-Williams,V004,,,,S,,6202,200,Low Stock,111,688422,2699,2758,5.02,4.8,414,2025-08-23,Deepali
P0119,T-Shirt,Fashion,Lyons PLC,Singleton-Hess,V014,Premium t-shirt designed for everyday use.,Red,,L,"premium,quality",8001,294,Low Stock,158,1264158,25743,1890,2.42,4.2,135,2024-08-10,Deepali
P0120,Jacket,Fashion,Callahan-Bradley,Fuller-Hernandez,V011,,,,L,,1266,235,In Stock,101,127866,28035,2655,3.54,4.5,789,2025-03-03,Deepali
P0121,Kurti,Fashion,"Greene, Cooper and Robles",Lambert Group,V010,Premium kurti designed for everyday use.,Blue,,,"premium,quality",3007,83,Low Stock,137,411959,30208,3306,5.13,3.4,434,2025-06-02,Deepali
P0122,Dress,Fashion,Parrish-Scott,Garrison Ltd,V009,Premium dress designed for everyday use.,White,,,"premium,quality",9232,398,Low Stock,209,1929488,27454,2917,7.6,3.4,298,2024-09-08,Deepali
P0123,Kurti,Fashion,Mercer-Perry,"Brown, Brown and Ferrell",V001,,,,,,6641,468,In Stock,240,1593840,29500,2033,1.87,4.1,582,2026-03-01,Deepali
P0124,Jacket,Fashion,Garner LLC,"Thompson, Stout and Schneider",V016,Premium jacket designed for everyday use.,White,,S,"premium,quality",6997,390,Out of Stock,54,377838,16612,4442,1.75,4.2,660,2025-09-16,Deepali
P0125,Dress,Fashion,Nielsen-Bradley,Stanley-Mueller,V017,,,,,,7007,310,Low Stock,279,1954953,5527,3930,1.85,2.5,868,2025-12-20,Deepali
P0126,Jeans,Fashion,"Brown, Richardson and Hall","Mitchell, Bates and Peters",V001,Premium jeans designed for everyday use.,Black,,XL,"premium,quality",3224,117,Out of Stock,130,419120,12859,3206,5.77,4.9,943,2024-08-26,Deepali
P0127,Jeans,Fashion,"Riley, Thomas and Robbins","Gonzalez, Roberts and Hancock",V017,Premium jeans designed for everyday use.,White,Steel,L,"premium,quality",9849,104,In Stock,184,1812216,48116,4417,4.69,4.2,273,2025-09-20,Deepali
P0128,Jeans,Fashion,"King, Cochran and Taylor",Miles-Williams,V020,Premium jeans designed for everyday use.,Red,,S,"premium,quality",6359,109,Low Stock,122,775798,28085,2893,6.75,4.2,201,2025-10-29,Deepali
P0129,Kurti,Fashion,George PLC,Tran and Sons,V003,Premium kurti designed for everyday use.,Red,,M,"premium,quality",8816,219,In Stock,6,52896,27307,2782,0.73,3,841,2025-02-09,Deepali
P0130,Jeans,Fashion,"Daniels, Swanson and Buck","Barnes, White and Harrington",V002,Premium jeans designed for everyday use.,Blue,Steel,,"premium,quality",2940,61,In Stock,164,482160,11357,3490,7.1,3.9,10,2025-05-31,Deepali
P0131,Jacket,Fashion,Martin LLC,"Ellison, Lynch and Clark",V019,,,,M,,6450,120,In Stock,103,664350,31950,3478,2.41,3.7,881,2025-12-26,Deepali
